strata,blob1,loc,url,commit,head,modificationcount,blob2,sha1,retention,uniqueness
rare,2c03698f93cc36c7062b88c7b49c80f05aa772f7,703,https://github.com/OSLL/qemu-xtensa/blob/a04d91c701/block/blkdebug.c,20131108-xtensa-1058-gb35ee7fb23,a04d91c701,77,efd9441625a442d83044970c0da7f229153ed73c,b612b7b0c63b962e7332bbb73d07dbee6cc68b83,0.5915632754342431,0.07890818858560794
rare,2c03698f93cc36c7062b88c7b49c80f05aa772f7,703,https://github.com/panda-re/panda/blob/6bb01bb68c/block/blkdebug.c,b35ee7fb23,6bb01bb68c,53,63bc5d4f0340ecd3c758949dada273e2be6f2fe5,46efb701be34e5c8689fd751eafa6a503a0bf83a,0.6039312039312039,0.06977886977886978
rare,32d4bfe0098a4e41d83696bc01f07de3cc4db485,35,https://github.com/gMagicScott/core.wordpress-mirror/blob/8548899126/wp-includes/version.php,a98af6aa3e,8548899126,12524,3fee1c121df4cde0207cc9428582ecc0e2bcfc60,3056c2d8ca6c21274fdca9ccd82683c4ee97a276,0.3333333333333333,0.3333333333333333
rare,32d4bfe0098a4e41d83696bc01f07de3cc4db485,35,https://github.com/projectestac/agora_nodes/blob/ae9c2f66b4/wp-includes/version.php,02192b7f71,ae9c2f66b4,12117,6a750765dda5d5d68ea8772faf97c11e840fea09,ed0e931a58f3d6873dbfe4cb4c272d98cc403457,0.5,0.16666666666666666
rare,3a52405e810660a492d15d2764b4fbb8169a17b7,478,https://github.com/wikimedia/mediawiki/blob/64bd7a7e4b4/includes/api/ApiEditPage.php,7478ad35765,64bd7a7e4b4,181,d0a0523bf7c83444174ca38edc7d5ed141e7547f,3c864f9d59dc346c41a86f05d7009ec7b2f636f7,0.3423772609819121,0.522609819121447
rare,3a52405e810660a492d15d2764b4fbb8169a17b7,478,https://github.com/Wikia/app/blob/81e42b1e0be/includes/api/ApiEditPage.php,7478ad35765,81e42b1e0be,10,0da2cfc799400d9cd74bb96034546c56fe64665e,f6d60d78a8f14b25eabd6d8b246fc24ef09ea5fa,0.6824946846208363,0.1693834160170092
rare,4ac1b1188637e152e3d536499adc27204a84c21c,756,https://github.com/MariaDB/server/blob/a65d3b2c163/sql/item_strfunc.h,7134ffec210,a65d3b2c163,466,6207e1a77541a658d83d9330f603c1169a5a145c,4df57ed77210da5c0caa90f7adc3b1af2aafc5b5,0.21362862010221464,0.023168654173764906
rare,4ac1b1188637e152e3d536499adc27204a84c21c,756,https://github.com/mariadb-corporation/mariadb-columnstore-server/blob/c84cbab45e4/sql/item_strfunc.h,7134ffec210,c84cbab45e4,457,57f79ce0459d290e137d2a5a3cc3672610a854c3,99be49238de1623702e685965b21192121eda272,0.21689655172413794,0.011724137931034483
rare,4ac1b1188637e152e3d536499adc27204a84c21c,756,https://github.com/mysql/mysql-server/blob/ca94b993454/sql/item_strfunc.h,7134ffec210,ca94b993454,410,6054180d6f61e4b42b26cbc0a8ce5c6d7c1676ec,84f2a9ddd86afc4f36f095132006ee57ef685250,0.22590492804186654,0.27911033580462274
rare,4ac1b1188637e152e3d536499adc27204a84c21c,756,https://github.com/percona/percona-xtradb-cluster/blob/793cd7f0174/sql/item_strfunc.h,7134ffec210,793cd7f0174,336,e86d9a73f440fc8059bca1edc21b21336fa2c7f0,c01956a30a2b58e343b7d3bbb85c3c41004f0d87,0.30041532071988925,0.0
